ZCTA,Counties,Population Density (People per Square Kilometer),Median Value of Owner Occupied Units (Dollars)
00906,San Juan Municipio,20007.275372862863,370500
00907,San Juan Municipio,3186.87575625465,234700
00909,San Juan Municipio,4131.999250125226,129700
00911,San Juan Municipio,6081.91765395057,294700
00912,San Juan Municipio,6024.039938156245,124900
00913,San Juan Municipio,8653.411846867622,385700
00915,San Juan Municipio,6906.706984023541,87200
00917,San Juan Municipio,4897.8352128305805,113800
00918,San Juan Municipio,2495.8191915744096,166400
00920,San Juan Municipio,1582.8505343270415,137700
00921,San Juan Municipio,4033.8266725245353,128400
00923,San Juan Municipio,4534.677402469475,109200
00924,Carolina Municipio|San Juan Municipio,4111.194165538698,126700
00925,San Juan Municipio,4765.299678530683,132400
00926,Guaynabo Municipio|San Juan Municipio|Trujillo Alto Municipio,1608.9448364384125,168300
00927,San Juan Municipio,2278.315604955978,197100
00934,Bayamón Municipio|Guaynabo Municipio,59.33706884678679,-
00949,Cataño Municipio|Toa Alta Municipio|Toa Baja Municipio,1265.4667111320698,124500
00950,Dorado Municipio,0.8697300879645011,-
00951,Toa Baja Municipio,154.99723708413433,-
00952,Toa Baja Municipio,1509.9427054147232,97400
00953,Corozal Municipio|Toa Alta Municipio|Toa Baja Municipio,960.1754400203711,133100
00956,Aguas Buenas Municipio|Bayamón Municipio|Toa Alta Municipio,1018.7756007798696,118800
00957,Bayamón Municipio|Toa Alta Municipio,3605.7946739192894,127800
00959,Bayamón Municipio|Guaynabo Municipio|Toa Alta Municipio|Toa Baja Municipio,2764.3790323893977,135900
00960,Bayamón Municipio,795.9006299755835,-
00961,Bayamón Municipio|Cataño Municipio,2031.6138870821733,149400
00962,Cataño Municipio|Guaynabo Municipio,1582.6122216850024,105500
00965,Guaynabo Municipio,2630.8964839484606,82500
00966,Bayamón Municipio|Guaynabo Municipio|San Juan Municipio,2601.032262176453,234900
00968,Guaynabo Municipio,3152.1269658449005,197600
00969,Bayamón Municipio|Guaynabo Municipio|San Juan Municipio,2976.420386617374,216300
00971,Guaynabo Municipio,687.0369661881541,131100
00976,Carolina Municipio|Gurabo Municipio|San Juan Municipio|Trujillo Alto Municipio,1326.0104798209634,143900
00979,Carolina Municipio,1482.3277420779516,167500
00982,Carolina Municipio,3795.5011188190965,134300
00983,Carolina Municipio,2849.226346904767,132200
00985,Carolina Municipio,1306.556055791156,129400
00987,Carolina Municipio|Trujillo Alto Municipio,869.9916477704646,138400
01001,Hampden County,580.7005750351202,220900
01002,Franklin County|Hampshire County,199.79425063660221,366900
01003,Hampshire County,6363.466127615034,-
01005,Worcester County,43.80507275437027,257200
01007,Hampshire County,108.52775538059262,277000
01008,Berkshire County|Hampden County,8.31067045472537,230200
01009,Hampden County,542.4905742262729,205700
01010,Hampden County|Worcester County,40.67460437069504,287900
01011,Hampden County|Hampshire County,14.139564471039542,208200
01012,Hampshire County,16.606597074679133,249100
01013,Hampden County,1613.7337088343052,188600
01020,Hampden County,922.7655662968996,193500
01022,Hampden County,173.07098829789896,123600
01026,Berkshire County|Hampshire County,13.915126564269778,223200
01027,Hampshire County,170.24816962288622,271000
01028,Hampden County,490.55604170249273,274100
01029,Berkshire County,27.649279194134266,276700
01030,Hampden County,375.78659455467,248400
01031,Worcester County,80.62927536589261,190000
01032,Hampshire County,19.326296507402112,260700
01033,Hampshire County,84.5808816690557,267400
01034,Hampden County,11.267098077792035,280500
01035,Hampshire County,89.06669146595578,331100
01036,Hampden County,97.77210334688519,286400
01037,Worcester County,14.6741517311446,296000
01038,Hampshire County,105.57542036766704,323600
01039,Franklin County|Hampshire County,35.37625136758126,327000
01040,Hampden County,697.5616918777079,197700
01050,Hampden County|Hampshire County,23.024995326401942,226500
01053,Hampshire County,136.3645244634667,283300
01054,Franklin County,31.80650009691806,353800
01056,Hampden County,298.17036519353206,240000
01057,Hampden County,70.66283551357046,252400
01060,Hampshire County,513.7596165614557,361400
01062,Hampshire County,241.37602832051004,324200
01063,Hampshire County,9201.649830472928,-
01066,Hampshire County,65.79646002803848,-
01068,Worcester County,33.84598806207205,302700
01069,Hampden County|Hampshire County,115.97611591061445,204400
01070,Berkshire County|Hampshire County,11.229123293691416,240000
01071,Hampden County,36.550243401008515,232100
01072,Franklin County,27.623277063814704,273900
01073,Hampshire County,85.35553776827578,338400
01074,Worcester County,869.4940110622268,-
01075,Hampshire County,395.82032214911436,261900
01077,Hampden County,115.58850881288238,299500
01079,Hampden County,168.3748750098779,195200
01080,Hampden County,556.4493523277321,190900
01081,Hampden County,44.92449630075852,214200
01082,Hampden County|Hampshire County|Worcester County,86.77389571162504,209600
01083,Worcester County,77.14587734580292,232000
01084,Hampshire County,8.573515742527405,230400
01085,Hampden County,268.4652213904276,249000
01088,Hampshire County,43.94793565963427,332400
01089,Hampden County,665.4500941969013,235200
01092,Worcester County,77.14956762061945,238800
01093,Franklin County,25.955878943928678,354000
01094,Worcester County,32.189169310202196,198700
01095,Hampden County,252.27125680633654,301100
01096,Franklin County|Hampshire County,26.996608767566723,280900
01097,Hampden County,28.84118556795949,-
01098,Hampshire County,13.888981219736143,279900
01103,Hampden County,2259.964266812536,157400
01104,Hampden County,1741.4056194018474,151400
01105,Hampden County,3858.4510997113925,177800
01106,Hampden County,651.1177676081941,349600
01107,Hampden County,2816.776593217356,164900
01108,Hampden County,3104.778156077516,167800
01109,Hampden County,2197.4578517820073,143700
01118,Hampden County,1535.0608279664546,179400
01119,Hampden County,1573.9863245926588,161400
01128,Hampden County,921.5842196371598,200400
01129,Hampden County,789.2631446473036,170800
01144,Hampden County,0.0,-
01151,Hampden County,1491.4420565796067,151700
01201,Berkshire County,290.9508473097641,178500
01220,Berkshire County,137.75021776291928,161600
01222,Berkshire County,70.20852267562914,250600
01223,Berkshire County|Hampden County,13.491298786847423,283200
01224,Berkshire County,180.02920289374129,225700
01225,Berkshire County,46.91646839610638,199400
01226,Berkshire County,112.21481108812223,244200
01229,Berkshire County,29.3922064931583,425000
01230,Berkshire County,35.461669027281005,378200
01235,Berkshire County,22.614399507471123,192400
01236,Berkshire County,88.29581490676125,294400
01237,Berkshire County,18.518253889175885,254900
01238,Berkshire County,80.03943613797888,291500
01240,Berkshire County,75.75620213944104,340300
01242,Berkshire County,377.31599752601716,189600
01243,Hampshire County,4.72938154499112,236200
01244,Berkshire County,19.238324565818832,420800
01245,Berkshire County,13.92610602163929,443700
01247,Berkshire County,127.37118141879236,154900
01253,Berkshire County,14.706506009009193,279000
01254,Berkshire County,25.253725191418432,479700
01255,Berkshire County,7.328900680717313,266500
01256,Berkshire County,6.945863530430162,193400
01257,Berkshire County,24.375663510686486,329100
01258,Berkshire County,2.7763842835132575,493900
01259,Berkshire County,10.829225637947493,378900
01260,Berkshire County,34.77304172929172,666700
01262,Berkshire County,34.36055428694922,484600
01264,Berkshire County,5.816049971501355,416700
01266,Berkshire County,23.078168833655138,375300
01267,Berkshire County,51.27476881058936,331700
01270,Berkshire County,9.038930289650546,303400
01301,Franklin County,274.81056813421736,198000
01330,Franklin County,16.80003655687955,325200
01331,Franklin County|Worcester County,97.34807199491578,182400
01337,Franklin County,26.454660955020696,258100
01338,Franklin County,37.43784801353894,233300
01339,Franklin County,9.83829657973108,223600
01340,Franklin County,13.378729993446797,221700
01341,Franklin County,17.705184247061386,341800
01342,Franklin County,32.25138397860287,270700
01343,Berkshire County,5.547682702675005,245500
01344,Franklin County,46.608464405059756,208200
01346,Franklin County,10.159754050826711,233000
01347,Franklin County,220.47547048276562,157400
01349,Franklin County,32.35244653543049,201500
01350,Franklin County,4.263018255219605,122200
01351,Franklin County,45.18672858884113,268000
01354,Franklin County,43.41419690854412,255900
01355,Franklin County,7.144983161453136,258800
01360,Franklin County,32.30794779004128,244300
01364,Franklin County,82.21638997731901,167700
01366,Worcester County,12.40776960943979,297500
01367,Franklin County,7.950878029916986,230300
01368,Worcester County,11.176628785880464,271600
01370,Franklin County,31.505564806598258,284400
01373,Franklin County,75.76526474645078,329400
01375,Franklin County,99.78892134016932,324600
01376,Franklin County,503.9759575827178,204900
01378,Franklin County,8.06342241481948,254200
01379,Franklin County,13.849106753191258,213600
01380,Franklin County,4.872733124328737,-
01420,Worcester County,538.7265314043465,216500
01430,Worcester County,66.23679271928705,277400
